"","structure","correlation","num_dim","replicate","factor","pearson","spearman","theta_cor"
"1","Simple",0,3,1,"F1",0.9871,0.9993,0.8313
"2","Simple",0,3,1,"F2",0.991,0.9989,0.8053
"3","Simple",0,3,1,"F3",0.9906,0.999,0.8075
"4","Simple",0,3,2,"F1",0.9864,0.9989,0.8472
"5","Simple",0,3,2,"F2",0.987,0.9989,0.8389
"6","Simple",0,3,2,"F3",0.9864,0.9991,0.8509
"7","Simple",0,3,3,"F1",0.9884,0.9984,0.8465
"8","Simple",0,3,3,"F2",0.9848,0.9993,0.8532
"9","Simple",0,3,3,"F3",0.9892,0.9991,0.8203
"10","Simple",0,3,4,"F1",0.9868,0.9991,0.8318
"11","Simple",0,3,4,"F2",0.9931,0.9989,0.7848
"12","Simple",0,3,4,"F3",0.9887,0.999,0.836
"13","Simple",0,3,5,"F1",0.9888,0.9987,0.8309
"14","Simple",0,3,5,"F2",0.9866,0.9983,0.828
"15","Simple",0,3,5,"F3",0.9885,0.9988,0.8375
"16","Simple",0,3,6,"F1",0.9884,0.9984,0.8256
"17","Simple",0,3,6,"F2",0.991,0.9988,0.8005
"18","Simple",0,3,6,"F3",0.9849,0.9987,0.8482
"19","Simple",0,3,7,"F1",0.9896,0.9993,0.8231
"20","Simple",0,3,7,"F2",0.9877,0.9992,0.8184
"21","Simple",0,3,7,"F3",0.9885,0.9994,0.8243
"22","Simple",0,3,8,"F1",0.9864,0.9994,0.846
"23","Simple",0,3,8,"F2",0.9917,0.9985,0.7982
"24","Simple",0,3,8,"F3",0.9852,0.9991,0.8508
"25","Simple",0,3,9,"F1",0.9878,0.9994,0.8443
"26","Simple",0,3,9,"F2",0.9828,0.9979,0.8447
"27","Simple",0,3,9,"F3",0.9891,0.9967,0.8192
"28","Simple",0,3,10,"F1",0.988,0.9992,0.8455
"29","Simple",0,3,10,"F2",0.9892,0.9987,0.8116
"30","Simple",0,3,10,"F3",0.9868,0.9996,0.8475
"31","Simple",0,5,1,"F1",0.9908,0.9915,0.7903
"32","Simple",0,5,1,"F2",0.9914,0.9944,0.761
"33","Simple",0,5,1,"F3",0.9898,0.993,0.7436
"34","Simple",0,5,1,"F4",0.9912,0.9904,0.695
"35","Simple",0,5,1,"F5",0.9896,0.9894,0.7709
"36","Simple",0,5,2,"F1",0.9904,0.9936,0.7448
"37","Simple",0,5,2,"F2",0.992,0.9932,0.7278
"38","Simple",0,5,2,"F3",0.9921,0.9925,0.7623
"39","Simple",0,5,2,"F4",0.9927,0.9937,0.7357
"40","Simple",0,5,2,"F5",0.9919,0.9953,0.7788
"41","Simple",0,5,3,"F1",0.9899,0.9929,0.7621
"42","Simple",0,5,3,"F2",0.9909,0.993,0.787
"43","Simple",0,5,3,"F3",0.9906,0.9938,0.753
"44","Simple",0,5,3,"F4",0.9923,0.9922,0.7191
"45","Simple",0,5,3,"F5",0.9866,0.9866,0.642
"46","Simple",0,5,4,"F1",0.9917,0.9893,0.7479
"47","Simple",0,5,4,"F2",0.9919,0.9941,0.7587
"48","Simple",0,5,4,"F3",0.9893,0.9921,0.7028
"49","Simple",0,5,4,"F4",0.9922,0.9954,0.7699
"50","Simple",0,5,4,"F5",0.9898,0.9937,0.773
"51","Simple",0,5,5,"F1",0.991,0.9861,0.6822
